fr	en
attendez-nous là	wait for us there
avez-vous faim?	are you hungry (formal)?
c'est pour vous	it is for you (formal)
c'est quoi?	what is it?
c'est tout?	is that all?
c'est très gentil	it is very nice
c’est combien?	how much is it?
c’est grave?	is it serious?
ça n'est pas grave	no problem
ce n’est pas comme ça	It is not like that
combien cela coûte?	how much is this?
comment as-tu passé... ?	how have you spent...? (informal)
comment t'appelles-tu?	what's your name (informal)?
comment vas-tu?	how are you (informal)?
depuis quand?	since when?
il est prêt	he is ready
il veut y aller	he wants to go there
j'ai déjà dit que	I have already said that
j’attends mes amis	I am waiting for my friends
je ne comprends pas	I don't understand
je ne sais pas	I don't know
je serai à	I will be at
je suis arrivé	I have arrived (m)
je suis désolé	I am sorry (m)
je suis perdu	I'm lost (m)
je suis près de	I am close to
je te tiens au courant	I'll let you know (informal)
je vais être en retard	I'll be late
ne t'inquiète pas!	don't worry (informal)!
nous parlerons plus tard	we will speak later
où on se retrouve?	where do we meet?
où pouvons-nous manger?	where can we eat?
où sont les toilettes?	where is the bathroom?
où veux-tu dîner?	where do you want to have dinner? (informal)
parlez-vous anglais?	do you speak English? (formal)
pas du tout	not at all
pas pour moi	not for me
peux-tu m'aider?	can you help me (informal)?
pourquoi pas?	why not?
pourriez-vous répéter?	can you say it again? (formal)
puis-je faire ça?	can I do that?
qu'est-ce qui se passe?	what is happening?
qu’est-ce que vous recommandez?	what do you recommend (formal)?
que voulez-vous faire?	what do you want to do (formal)?
qui est-ce?	who is it?
quoi de neuf?	what's new?
tu vas y aller	you are going to go there (informal)
va-t'en!	go away!
viens avec moi!	come with me! (informal)